age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,term_deposit_subscribed,client_id
36,management,single,secondary,no,1511,yes,no,cellular,16,nov,270,1,-1,0,unknown,yes,cf07cd85-cac4-4a59-bcbf-b74f0d0259d4
53,technician,divorced,secondary,no,0,yes,yes,cellular,15,jul,135,5,-1,0,unknown,no,477200fa-9096-4f9c-82ad-67750e9f1049
50,technician,married,secondary,no,1838,yes,yes,cellular,13,aug,221,8,-1,0,unknown,no,a3be53f2-e65f-4a38-b150-2f7fc7ebb722
33,blue-collar,divorced,unknown,yes,-274,yes,yes,cellular,17,apr,715,2,329,2,failure,yes,4f2e47f4-a796-4fd1-9543-223221e0ff56
38,blue-collar,married,primary,no,1852,yes,no,cellular,13,may,606,1,-1,0,unknown,yes,a3b0b402-f021-43fc-9baf-2110e26b5343
53,admin.,married,secondary,no,769,no,no,cellular,4,aug,59,1,-1,0,unknown,no,1973a5f3-2289-4c57-8395-e18e1d8dd2f7
37,technician,married,tertiary,no,341,no,no,cellular,13,aug,287,3,182,3,success,yes,d10facdc-8a29-499f-a292-da358ce3ea82
35,blue-collar,single,secondary,no,907,yes,yes,unknown,8,may,242,1,-1,0,unknown,no,a96c6b8a-db52-42b9-b55c-4a97f030dbd7
25,technician,single,secondary,no,945,yes,no,cellular,24,jul,561,4,-1,0,unknown,no,fdd3bef9-c160-42e7-a3bf-0def8829f264
32,management,married,secondary,no,134,yes,yes,cellular,15,may,532,3,-1,0,unknown,yes,c23676b8-7f0e-43ee-9b12-1ab555318cfe
31,technician,single,tertiary,no,4979,no,yes,cellular,27,aug,33,2,-1,0,unknown,no,4ebe22da-ff7b-4170-b5b9-f7606128184a
50,self-employed,married,secondary,no,10052,no,no,cellular,13,aug,665,2,-1,0,unknown,yes,fb693d5d-cd70-451f-a124-d4a01f76c79c
60,retired,married,tertiary,no,846,no,no,telephone,26,may,1346,1,-1,0,unknown,yes,822a3458-50b4-42ac-8b25-418195b93528
79,retired,married,secondary,no,668,no,no,telephone,2,jul,363,1,-1,0,unknown,yes,2402ab35-eb46-4c6e-8f00-0a2366450115
49,admin.,divorced,secondary,yes,2405,yes,no,cellular,23,jul,216,8,-1,0,unknown,no,40fb4f6e-bb00-4841-8f49-e163d7996578
45,blue-collar,married,secondary,no,1723,no,no,cellular,1,jun,166,2,-1,0,unknown,yes,1391e48f-cce5-47d8-9c6d-5e00edeb8133
37,management,married,tertiary,no,1315,no,no,cellular,30,jun,224,1,-1,0,unknown,yes,99a12e51-f757-4941-84b3-9c7ec7a3c3c9
33,technician,divorced,secondary,no,9,no,no,cellular,21,aug,91,2,-1,0,unknown,no,b736b978-b214-4ec6-88e0-56e9660e0759
38,management,married,tertiary,no,5506,no,no,cellular,20,nov,74,1,-1,0,unknown,no,d2eec59d-67f4-4efe-bf97-68ad4bc0d1ad
34,unemployed,married,tertiary,no,425,no,no,cellular,3,feb,289,2,-1,0,unknown,no,03b16710-84fb-4905-91ac-015c37077446
27,admin.,married,tertiary,no,2855,no,no,cellular,22,jul,138,2,178,4,success,yes,7dc4bc5e-070b-48ca-9710-a6181434e2c4
37,blue-collar,married,secondary,no,-59,yes,yes,cellular,24,jul,56,1,-1,0,unknown,no,9ce50d36-f571-4da3-8ec1-cfc171660fd3
50,management,single,tertiary,no,1200,no,no,cellular,14,aug,904,3,-1,0,unknown,yes,21e064b7-b7b5-4ad8-8387-0282b2764550
38,admin.,divorced,secondary,no,258,yes,no,cellular,8,may,191,1,-1,0,unknown,no,0113e347-8e94-4dbc-bfbf-e2424adc63a7
36,management,married,tertiary,no,0,yes,no,cellular,29,jan,86,1,237,17,other,no,cb7af892-4303-4eba-a601-0822d762d8a3
31,blue-collar,married,secondary,no,489,yes,no,unknown,23,may,204,4,-1,0,unknown,no,8eaeae8d-09f7-45f4-b70c-14bebb15fa17
30,blue-collar,married,secondary,no,0,yes,yes,cellular,10,jul,1399,1,-1,0,unknown,yes,491e756d-f368-457d-8841-3f3bf04b1f20
34,management,married,tertiary,no,276,no,no,cellular,29,jan,216,1,-1,0,unknown,no,a906aafb-70ef-4169-a78f-66b4bdb186eb
24,student,single,secondary,no,2530,yes,no,unknown,29,may,399,5,-1,0,unknown,no,63b69047-e329-4ac5-8616-4f6523fbe90f
41,technician,single,tertiary,no,145,no,no,cellular,22,jul,1833,2,-1,0,unknown,yes,2bd5dd20-44d6-4750-844a-0f5ea8032bb8
49,technician,married,secondary,no,307,no,no,cellular,9,dec,854,1,-1,0,unknown,yes,9448f437-e18c-40e6-a856-7fd668933217
39,technician,single,secondary,no,1022,yes,no,unknown,20,may,1410,2,-1,0,unknown,yes,d65728aa-1364-4605-81bc-bd85e4c217ad
59,housemaid,divorced,tertiary,no,0,no,no,cellular,20,apr,379,1,332,2,other,no,d1a4f861-8c7c-426b-8900-eb9099123979
31,management,married,tertiary,no,153,yes,no,cellular,14,jul,118,3,-1,0,unknown,no,54c83723-725a-4dd6-874c-0d9b1c7028ea
55,housemaid,divorced,tertiary,no,6920,yes,no,unknown,6,may,406,3,-1,0,unknown,no,4f865b2d-241e-4fd6-9a4c-27261ddce02e
33,blue-collar,single,primary,no,-104,yes,no,cellular,15,may,34,10,331,16,other,no,f8f7489f-0ce3-4113-915b-a5cf27a1efc4
40,blue-collar,married,unknown,no,1181,yes,no,cellular,4,feb,718,2,189,2,success,yes,e9265663-2e80-46eb-938c-3c3e4c0d8915
59,unemployed,single,primary,no,7724,no,no,cellular,21,nov,373,3,-1,0,unknown,yes,b1755379-50b2-4a14-a2cb-0d0221b0c5db
31,blue-collar,single,secondary,no,116,yes,no,unknown,27,may,261,1,-1,0,unknown,no,e67a2520-14e1-48be-8df2-a9848f6308d5
60,technician,married,primary,no,4243,yes,no,cellular,4,feb,387,1,251,1,failure,no,cfca5202-389b-447a-ae1b-4b08c971912e
30,blue-collar,single,secondary,no,4648,yes,no,unknown,20,may,37,1,-1,0,unknown,no,da1cf644-cb9f-411f-9a56-028b7a8e2f95
36,admin.,married,tertiary,no,0,no,no,cellular,25,nov,106,1,205,2,other,no,c0b5114d-f01e-46b1-b5c8-6310321d6cec
31,technician,single,secondary,no,863,yes,no,cellular,25,may,166,3,111,6,failure,no,e3b63ea3-222d-480b-9540-c0cb0a8c423d
30,admin.,single,secondary,no,270,no,no,cellular,30,apr,437,1,80,1,success,yes,95c6960e-6043-4c24-8a7a-e8c83eb8630c
39,blue-collar,single,primary,no,581,yes,no,cellular,27,feb,233,1,270,1,other,yes,75085136-ff9e-4cbd-ac00-e69a98541c9e
33,blue-collar,divorced,primary,no,390,yes,no,unknown,9,may,665,2,-1,0,unknown,yes,e95029a4-9b58-460a-b862-1bf5199245f6
43,admin.,single,secondary,no,733,yes,no,cellular,19,nov,1102,3,-1,0,unknown,yes,de6c90b7-bed9-4780-88e1-123b65d29269
59,management,married,primary,no,1727,no,no,telephone,25,may,500,4,358,2,failure,yes,99c62146-497f-4553-998b-e14189a91fff
43,technician,married,primary,no,-441,yes,no,cellular,14,jul,216,3,-1,0,unknown,no,6eb1f410-70f4-4ec4-927d-8ff8c0bd162d
29,technician,single,secondary,no,28,no,no,cellular,9,feb,96,2,-1,0,unknown,no,8d19f243-c556-4dc5-993c-90dc8d500031
46,blue-collar,married,primary,no,-169,no,yes,unknown,29,may,336,3,-1,0,unknown,no,afe8129e-1d15-4d5f-a4bc-72545ce5efe3
28,self-employed,single,tertiary,no,159,no,no,cellular,16,nov,449,2,33,4,success,yes,9a9ad959-a2e3-4feb-a7d3-d974f73de450
37,blue-collar,married,unknown,no,1508,no,yes,unknown,6,jun,381,2,-1,0,unknown,yes,6485e05f-6cda-442a-8a47-7cf1af1f6c26
34,admin.,married,tertiary,no,798,yes,no,cellular,8,mar,284,2,-1,0,unknown,no,ae139a3d-b555-4851-a4f8-c00e4a9b50cf
29,blue-collar,single,secondary,no,558,yes,no,cellular,11,may,142,1,-1,0,unknown,no,1105772b-3513-406c-9678-49c0335a3e89
36,management,divorced,tertiary,yes,20,no,yes,unknown,24,jun,62,5,-1,0,unknown,no,cbee8a9b-526b-452f-8981-c585778655ee
53,housemaid,married,primary,no,362,no,no,cellular,28,jul,1169,2,-1,0,unknown,yes,2335c851-0538-4904-adfa-54561b51495d
52,management,married,tertiary,no,967,no,no,cellular,25,aug,472,10,-1,0,unknown,no,d7de655b-6ebf-4f4f-8700-b8f55aa5747b
55,technician,divorced,secondary,no,61,yes,yes,cellular,25,aug,113,3,-1,0,unknown,no,ce0452ab-7b35-4647-9f08-a3efd1b9e72a
24,student,single,secondary,no,1234,no,no,cellular,21,jul,314,1,156,2,success,yes,34d9412e-b1f7-491b-a61b-e602a8940421
64,retired,married,primary,no,440,no,no,cellular,6,feb,495,1,-1,0,unknown,yes,d75baff6-8e2c-4f29-8bb8-33a1c156c0c4
44,blue-collar,married,secondary,no,87,yes,no,unknown,19,may,193,3,-1,0,unknown,no,9ec409e2-e5f7-4067-8f52-bb2053492317
47,blue-collar,married,primary,no,4666,no,no,unknown,14,may,451,3,-1,0,unknown,no,4d785073-fea0-4bf7-ab87-e8f3c9cdedc1
34,admin.,married,secondary,no,0,yes,no,cellular,10,feb,97,1,85,1,failure,yes,fcc574ab-d5d2-4aac-be74-e3d8e0311ac4
46,admin.,married,unknown,no,5511,no,no,cellular,26,jul,414,2,389,1,success,yes,0df7ed28-ab13-4342-9b9c-72de67895aeb
31,admin.,married,secondary,no,1130,yes,no,cellular,23,jul,236,5,-1,0,unknown,no,a1f0ac74-f7a7-447a-bd4f-270ed1507f0a
52,admin.,married,secondary,no,395,yes,no,unknown,15,may,391,3,-1,0,unknown,no,03069aeb-0376-4f5c-b7ab-e2fc52ce6891
34,management,single,tertiary,no,1494,yes,no,cellular,18,nov,596,1,182,1,other,yes,bca12eb0-169a-4eb7-815e-731912b0c790
32,admin.,married,secondary,no,8749,yes,yes,unknown,21,oct,294,1,-1,0,unknown,yes,75497bfa-1f6e-4bd5-87f2-dbb41523df8f
36,student,single,tertiary,no,129,no,no,cellular,27,oct,149,1,-1,0,unknown,yes,15e0af11-0f44-4ea3-ab7e-c2b3c962023d
48,blue-collar,married,primary,no,3304,no,no,unknown,11,jun,409,3,-1,0,unknown,no,57693294-7d14-458c-8e80-f86e3b699cc6
46,technician,married,tertiary,no,0,yes,no,cellular,28,jan,58,1,-1,0,unknown,no,fdb6ab43-3a0c-4447-a848-429077193598
56,retired,married,primary,no,1947,no,no,cellular,2,mar,225,2,123,5,failure,yes,843cfe39-2d7b-446f-bd21-cfa8a1b6a266
53,unknown,married,primary,no,732,no,no,cellular,27,oct,759,2,-1,0,unknown,yes,7f2ee4f1-b4e7-487c-ae9d-3d5677e8ff41
50,blue-collar,married,primary,no,-522,yes,no,cellular,13,may,863,3,-1,0,unknown,yes,2110d4bc-f1cf-4d52-acc6-6c062b2d45f8
37,blue-collar,married,secondary,no,2016,yes,yes,cellular,18,may,20,6,-1,0,unknown,no,705989db-d6a6-4cf5-beb4-7d31658bc85b
55,blue-collar,married,secondary,no,93,no,yes,cellular,28,jan,111,1,-1,0,unknown,no,7d9ed5a8-a7b7-4666-b330-ec4301f49346
